Ensembl ID,Cell Count,Gene Name
ENSG00000158828,1745,PINK1
ENSG00000178951,970,ZBTB7A
ENSG00000275023,821,MLLT6
ENSG00000114861,816,FOXP1
ENSG00000250312,795,ZNF718
ENSG00000213015,736,ZNF580
ENSG00000007866,717,TEAD3
ENSG00000189308,676,LIN54
ENSG00000139579,664,NABP2
ENSG00000146587,652,RBAK
ENSG00000105732,642,ZNF574
ENSG00000184058,623,TBX1
ENSG00000187555,615,USP7
ENSG00000167840,611,ZNF232
ENSG00000100084,608,HIRA
ENSG00000153207,584,AHCTF1
ENSG00000181418,583,DDN
ENSG00000082014,565,SMARCD3
ENSG00000103479,564,RBL2
ENSG00000136327,564,NKX2-8
ENSG00000007080,554,CCDC124
ENSG00000149016,553,TUT1
ENSG00000156030,551,ELMSAN1
ENSG00000198521,542,ZNF43
ENSG00000121413,533,ZSCAN18
ENSG00000016082,525,ISL1
ENSG00000108924,522,HLF
ENSG00000189403,521,HMGB1
ENSG00000100105,519,PATZ1
ENSG00000196482,519,ESRRG
ENSG00000184828,514,ZBTB7C
ENSG00000013561,513,RNF14
ENSG00000108312,511,UBTF
ENSG00000010244,510,ZNF207
ENSG00000130816,509,DNMT1
ENSG00000196867,498,ZFP28
ENSG00000118263,490,KLF7
ENSG00000155090,489,KLF10
ENSG00000197111,486,PCBP2
ENSG00000185650,481,ZFP36L1
ENSG00000163635,481,ATXN7
ENSG00000049618,480,ARID1B
ENSG00000265763,480,ZNF488
ENSG00000182968,478,SOX1
ENSG00000169375,478,SIN3A
ENSG00000126561,474,STAT5A
ENSG00000014123,473,UFL1
ENSG00000127337,472,YEATS4
ENSG00000084093,472,REST
ENSG00000123411,471,IKZF4
ENSG00000170322,468,NFRKB
ENSG00000099364,467,FBXL19
ENSG00000103510,466,KAT8
ENSG00000130749,465,ZC3H4
ENSG00000175595,463,ERCC4
ENSG00000147130,463,ZMYM3
ENSG00000136826,461,KLF4
ENSG00000153814,460,JAZF1
ENSG00000055130,456,CUL1
ENSG00000121075,456,TBX4
ENSG00000165025,454,SYK
ENSG00000124440,453,HIF3A
ENSG00000104856,451,RELB
ENSG00000112561,451,TFEB
ENSG00000174963,451,ZIC4
ENSG00000124920,450,MYRF
ENSG00000157554,449,ERG
ENSG00000099817,448,POLR2E
ENSG00000116580,440,GON4L
ENSG00000004848,439,ARX
ENSG00000148516,438,ZEB1
ENSG00000177311,437,ZBTB38
ENSG00000174953,435,DHX36
ENSG00000204531,435,POU5F1
ENSG00000175550,435,DRAP1
ENSG00000196498,434,NCOR2
ENSG00000158717,434,RNF166
ENSG00000038219,434,BOD1L1
ENSG00000187140,434,FOXD3
ENSG00000139687,433,RB1
ENSG00000099956,431,SMARCB1
ENSG00000110693,428,SOX6
ENSG00000182903,428,ZNF721
ENSG00000129152,428,MYOD1
ENSG00000105419,427,MEIS3
ENSG00000188095,427,MESP2
ENSG00000095066,426,HOOK2
ENSG00000133884,424,DPF2
ENSG00000134107,424,BHLHE40
ENSG00000167766,423,ZNF83
ENSG00000137275,423,RIPK1
ENSG00000188243,419,COMMD6
ENSG00000106948,417,AKNA
ENSG00000143373,416,ZNF687
ENSG00000085224,413,ATRX
ENSG00000115041,413,KCNIP3
ENSG00000105997,411,HOXA3
ENSG00000105698,409,USF2
ENSG00000162367,408,TAL1
ENSG00000185513,408,L3MBTL1
ENSG00000187801,406,ZFP69B
ENSG00000198039,406,ZNF273
ENSG00000234616,406,JRK
ENSG00000170345,406,FOS
ENSG00000198554,404,WDHD1
ENSG00000105722,403,ERF
ENSG00000008441,403,NFIX
ENSG00000187098,402,MITF
ENSG00000080603,400,SRCAP
ENSG00000012174,400,MBTPS2
ENSG00000177889,399,UBE2N
ENSG00000197050,398,ZNF420
ENSG00000120885,398,CLU
ENSG00000189164,397,ZNF527
ENSG00000214114,395,MYCBP
ENSG00000160710,394,ADAR
ENSG00000204604,393,ZNF468
ENSG00000112242,393,E2F3
ENSG00000198160,393,MIER1
ENSG00000164093,393,PITX2
ENSG00000004399,392,PLXND1
ENSG00000123636,389,BAZ2B
ENSG00000186026,386,ZNF284
ENSG00000112238,385,PRDM13
ENSG00000182568,385,SATB1
ENSG00000116670,385,MAD2L2
ENSG00000145736,382,GTF2H2
ENSG00000118689,381,FOXO3
ENSG00000011332,380,DPF1
ENSG00000088305,380,DNMT3B
ENSG00000147649,379,MTDH
ENSG00000170561,379,IRX2
ENSG00000234444,376,ZNF736
ENSG00000104221,376,BRF2
ENSG00000120948,376,TARDBP
ENSG00000183770,375,FOXL2
ENSG00000171817,374,ZNF540
ENSG00000137574,374,TGS1
ENSG00000120738,374,EGR1
ENSG00000102870,374,ZNF629
ENSG00000269404,373,SPIB
ENSG00000039650,373,PNKP
ENSG00000164900,373,GBX1
ENSG00000197054,373,ZNF763
ENSG00000162992,372,NEUROD1
ENSG00000162624,371,LHX8
ENSG00000067066,370,SP100
ENSG00000166188,370,ZNF319
ENSG00000171116,370,HSFX1
ENSG00000164458,368,T
ENSG00000112658,367,SRF
ENSG00000124092,367,CTCFL
ENSG00000146592,365,CREB5
ENSG00000105287,365,PRKD2
ENSG00000178175,365,ZNF366
ENSG00000131848,364,ZSCAN5A
ENSG00000136367,364,ZFHX2
ENSG00000146007,364,ZMAT2
ENSG00000174282,363,ZBTB4
ENSG00000170265,362,ZNF282
ENSG00000197223,361,C1D
ENSG00000049246,361,PER3
ENSG00000100603,361,SNW1
ENSG00000197016,360,ZNF470
ENSG00000081665,360,ZNF506
ENSG00000069764,358,PLA2G10
ENSG00000178935,357,ZNF552
ENSG00000119950,356,MXI1
ENSG00000171148,356,TADA3
ENSG00000164256,355,PRDM9
ENSG00000172936,355,MYD88
ENSG00000119042,355,SATB2
ENSG00000163872,354,YEATS2
ENSG00000128604,352,IRF5
ENSG00000168779,352,SHOX2
ENSG00000134954,352,ETS1
ENSG00000196950,352,SLC39A10
ENSG00000125945,351,ZNF436
ENSG00000111802,351,TDP2
ENSG00000162702,351,ZNF281
ENSG00000137709,350,POU2F3
ENSG00000150051,348,MKX
ENSG00000251192,348,ZNF674
ENSG00000123268,348,ATF1
ENSG00000101076,347,HNF4A
ENSG00000110713,346,NUP98
ENSG00000124766,344,SOX4
ENSG00000229676,344,ZNF492
ENSG00000137310,343,TCF19
ENSG00000188994,343,ZNF292
ENSG00000213347,343,MXD3
ENSG00000170365,342,SMAD1
ENSG00000113716,342,HMGXB3
ENSG00000126456,342,IRF3
ENSG00000066117,342,SMARCD1
ENSG00000076108,341,BAZ2A
ENSG00000242852,341,ZNF709
ENSG00000179059,341,ZFP42
ENSG00000155846,340,PPARGC1B
ENSG00000082805,340,ERC1
ENSG00000117707,340,PROX1
ENSG00000161202,338,DVL3
ENSG00000135903,337,PAX3
ENSG00000173575,337,CHD2
ENSG00000168661,337,ZNF30
ENSG00000140836,337,ZFHX3
ENSG00000136807,337,CDK9
ENSG00000132010,337,ZNF20
ENSG00000102984,336,ZNF821
ENSG00000181220,336,ZNF746
ENSG00000172059,335,KLF11
ENSG00000107187,334,LHX3
ENSG00000120075,334,HOXB5
ENSG00000171161,334,ZNF672
ENSG00000137185,334,ZSCAN9
ENSG00000006194,333,ZNF263
ENSG00000171681,333,ATF7IP
ENSG00000164442,333,CITED2
ENSG00000171843,332,MLLT3
ENSG00000091010,332,POU4F3
ENSG00000167377,332,ZNF23
ENSG00000180257,331,ZNF816
ENSG00000119138,331,KLF9
ENSG00000107807,331,TLX1
ENSG00000135457,330,TFCP2
ENSG00000250571,329,GLI4
ENSG00000091656,329,ZFHX4
ENSG00000179348,329,GATA2
ENSG00000196924,328,FLNA
ENSG00000118495,328,PLAGL1
ENSG00000161642,328,ZNF385A
ENSG00000189120,328,SP6
ENSG00000183733,327,FIGLA
ENSG00000152784,327,PRDM8
ENSG00000089094,326,KDM2B
ENSG00000129535,326,NRL
ENSG00000196367,325,TRRAP
ENSG00000115738,325,ID2
ENSG00000196357,324,ZNF565
ENSG00000106571,324,GLI3
ENSG00000178096,323,BOLA1
ENSG00000129028,323,THAP10
ENSG00000170178,323,HOXD12
ENSG00000106261,323,ZKSCAN1
ENSG00000130803,322,ZNF317
ENSG00000111269,322,CREBL2
ENSG00000109320,321,NFKB1
ENSG00000108511,321,HOXB6
ENSG00000167074,321,TEF
ENSG00000185129,321,PURA
ENSG00000266412,321,NCOA4
ENSG00000172819,320,RARG
ENSG00000168496,320,FEN1
ENSG00000175387,320,SMAD2
ENSG00000106331,320,PAX4
ENSG00000089335,319,ZNF302
ENSG00000135766,319,EGLN1
ENSG00000033800,319,PIAS1
ENSG00000165556,319,CDX2
ENSG00000143379,319,SETDB1
ENSG00000112182,318,BACH2
ENSG00000171222,318,SCAND1
ENSG00000116809,318,ZBTB17
ENSG00000198176,318,TFDP1
ENSG00000132773,318,TOE1
ENSG00000214022,317,REPIN1
ENSG00000184216,317,IRAK1
ENSG00000278570,317,NR2E3
ENSG00000120669,317,SOHLH2
ENSG00000185668,316,POU3F1
ENSG00000104897,316,SF3A2
ENSG00000117036,315,ETV3
ENSG00000010818,315,HIVEP2
ENSG00000149136,314,SSRP1
ENSG00000197863,314,ZNF790
ENSG00000185177,314,ZNF479
ENSG00000163497,314,FEV
ENSG00000171604,313,CXXC5
ENSG00000185947,313,ZNF267
ENSG00000162676,312,GFI1
ENSG00000138738,312,PRDM5
ENSG00000115844,311,DLX2
ENSG00000183621,311,ZNF438
ENSG00000125740,311,FOSB
ENSG00000135638,310,EMX1
ENSG00000108654,310,DDX5
ENSG00000151789,310,ZNF385D
ENSG00000230797,310,YY2
ENSG00000082258,310,CCNT2
ENSG00000162772,310,ATF3
ENSG00000171316,310,CHD7
ENSG00000029153,310,ARNTL2
ENSG00000102935,309,ZNF423
ENSG00000090661,309,CERS4
ENSG00000187837,308,HIST1H1C
ENSG00000114853,308,ZBTB47
ENSG00000169016,308,E2F6
ENSG00000164853,308,UNCX
ENSG00000133606,308,MKRN1
ENSG00000099821,308,POLRMT
ENSG00000108604,307,SMARCD2
ENSG00000183336,307,BOLA2
ENSG00000030419,307,IKZF2
ENSG00000167380,307,ZNF226
ENSG00000125812,307,GZF1
ENSG00000066422,306,ZBTB11
ENSG00000116539,306,ASH1L
ENSG00000099917,306,MED15
ENSG00000107643,306,MAPK8
ENSG00000039600,306,SOX30
ENSG00000100030,305,MAPK1
ENSG00000129993,305,CBFA2T3
ENSG00000111046,305,MYF6
ENSG00000151090,305,THRB
ENSG00000140009,305,ESR2
ENSG00000105556,305,MIER2
ENSG00000065526,305,SPEN
ENSG00000106052,304,TAX1BP1
ENSG00000122678,304,POLM
ENSG00000258289,304,CHURC1
ENSG00000160961,304,ZNF333
ENSG00000111249,304,CUX2
ENSG00000176723,304,ZNF843
ENSG00000115507,303,OTX1
ENSG00000163435,303,ELF3
ENSG00000197213,303,ZSCAN5B
ENSG00000152433,303,ZNF547
ENSG00000164631,303,ZNF12
ENSG00000134532,302,SOX5
ENSG00000141905,302,NFIC
ENSG00000077235,301,GTF3C1
ENSG00000112592,301,TBP
ENSG00000166925,300,TSC22D4
ENSG00000205899,300,BHLHA9
ENSG00000127483,300,HP1BP3
ENSG00000144026,300,ZNF514
ENSG00000166261,300,ZNF202
ENSG00000148143,300,ZNF462
ENSG00000196275,300,GTF2IRD2
ENSG00000128710,299,HOXD10
ENSG00000185278,299,ZBTB37
ENSG00000184436,299,THAP7
ENSG00000177426,299,TGIF1
ENSG00000134758,299,RNF138
ENSG00000099949,299,LZTR1
ENSG00000179388,298,EGR3
ENSG00000173120,298,KDM2A
ENSG00000160113,297,NR2F6
ENSG00000185022,297,MAFF
ENSG00000092607,297,TBX15
ENSG00000131914,296,LIN28A
ENSG00000198517,296,MAFK
ENSG00000166432,296,ZMAT1
ENSG00000163320,296,CGGBP1
ENSG00000126351,295,THRA
ENSG00000171827,295,ZNF570
ENSG00000204209,295,DAXX
ENSG00000278318,294,ZNF229
ENSG00000177045,294,SIX5
ENSG00000184481,293,FOXO4
ENSG00000083307,293,GRHL2
ENSG00000067369,293,TP53BP1
ENSG00000141994,293,DUS3L
ENSG00000198690,293,FAN1
ENSG00000134815,293,DHX34
ENSG00000139515,292,PDX1
ENSG00000011590,291,ZBTB32
ENSG00000239713,291,APOBEC3G
ENSG00000164754,291,RAD21
ENSG00000107223,290,EDF1
ENSG00000136931,290,NR5A1
ENSG00000137203,290,TFAP2A
ENSG00000178585,290,CTNNBIP1
ENSG00000170315,289,UBB
ENSG00000121417,289,ZNF211
ENSG00000198040,289,ZNF84
ENSG00000186951,289,PPARA
ENSG00000131196,289,NFATC1
ENSG00000009950,289,MLXIPL
ENSG00000198945,288,L3MBTL3
ENSG00000178150,287,ZNF114
ENSG00000099326,287,MZF1
ENSG00000118922,287,KLF12
ENSG00000117505,287,DR1
ENSG00000175334,287,BANF1
ENSG00000176170,287,SPHK1
ENSG00000130700,287,GATA5
ENSG00000221818,286,EBF2
ENSG00000196110,286,ZNF699
ENSG00000198939,286,ZFP2
ENSG00000198429,286,ZNF69
ENSG00000105672,286,ETV2
ENSG00000160973,286,FOXH1
ENSG00000221994,285,ZNF630
ENSG00000007372,285,PAX6
ENSG00000236609,285,ZNF853
ENSG00000124831,285,LRRFIP1
ENSG00000185630,285,PBX1
ENSG00000162300,285,ZFPL1
ENSG00000062194,284,GPBP1
ENSG00000186566,284,GPATCH8
ENSG00000186448,284,ZNF197
ENSG00000143995,284,MEIS1
ENSG00000152409,284,JMY
ENSG00000163558,284,PRKCI
ENSG00000214717,284,ZBED1
ENSG00000149922,283,TBX6
ENSG00000174720,283,LARP7
ENSG00000198026,283,ZNF335
ENSG00000126804,283,ZBTB1
ENSG00000171574,282,ZNF584
ENSG00000204576,282,PRR3
ENSG00000198286,282,CARD11
ENSG00000167800,282,TBX10
ENSG00000169635,282,HIC2
ENSG00000120149,281,MSX2
ENSG00000006047,281,YBX2
ENSG00000177873,281,ZNF619
ENSG00000168269,281,FOXI1
ENSG00000184937,281,WT1
ENSG00000120068,281,HOXB8
ENSG00000104899,280,AMH
ENSG00000169981,280,ZNF35
ENSG00000152475,280,ZNF837
ENSG00000101096,280,NFATC2
ENSG00000053254,279,FOXN3
ENSG00000043355,279,ZIC2
ENSG00000261787,279,TCF24
ENSG00000168813,279,ZNF507
ENSG00000167157,279,PRRX2
ENSG00000083817,278,ZNF416
ENSG00000112365,278,ZBTB24
ENSG00000004975,278,DVL2
ENSG00000126003,278,PLAGL2
ENSG00000117475,278,BLZF1
ENSG00000082512,277,TRAF5
ENSG00000257923,277,CUX1
ENSG00000198816,277,ZNF358
ENSG00000143162,277,CREG1
ENSG00000005302,277,MSL3
ENSG00000142684,276,ZNF593
ENSG00000185610,276,DBX2
ENSG00000198440,276,ZNF583
ENSG00000159140,276,SON
ENSG00000168826,276,ZBTB49
ENSG00000188779,275,SKOR1
ENSG00000164379,275,FOXQ1
ENSG00000153130,275,SCOC
ENSG00000137504,275,CREBZF
ENSG00000125878,275,TCF15
ENSG00000188909,275,BSX
ENSG00000140479,275,PCSK6
ENSG00000104205,275,SGK3
ENSG00000169946,275,ZFPM2
ENSG00000077097,275,TOP2B
ENSG00000127603,274,MACF1
ENSG00000179361,274,ARID3B
ENSG00000174446,274,SNAPC5
ENSG00000125347,274,IRF1
ENSG00000185420,274,SMYD3
ENSG00000119715,273,ESRRB
ENSG00000177468,273,OLIG3
ENSG00000174197,273,MGA
ENSG00000157404,273,KIT
ENSG00000135363,273,LMO2
ENSG00000170689,273,HOXB9
ENSG00000100219,273,XBP1
ENSG00000141644,272,MBD1
ENSG00000139613,272,SMARCC2
ENSG00000165061,272,ZMAT4
ENSG00000260027,272,HOXB7
ENSG00000117713,271,ARID1A
ENSG00000115808,271,STRN
ENSG00000116833,271,NR5A2
ENSG00000189420,271,ZFP92
ENSG00000198028,271,ZNF560
ENSG00000165462,270,PHOX2A
ENSG00000076248,270,UNG
ENSG00000197124,270,ZNF682
ENSG00000139793,270,MBNL2
ENSG00000163161,269,ERCC3
ENSG00000135625,269,EGR4
ENSG00000185697,269,MYBL1
ENSG00000185024,269,BRF1
ENSG00000108510,268,MED13
ENSG00000036257,268,CUL3
ENSG00000096968,268,JAK2
ENSG00000147789,268,ZNF7
ENSG00000176678,267,FOXL1
ENSG00000101457,267,DNTTIP1
ENSG00000135374,267,ELF5
ENSG00000154957,267,ZNF18
ENSG00000141298,266,SSH2
ENSG00000131061,266,ZNF341
ENSG00000166268,266,MYRFL
ENSG00000078043,266,PIAS2
ENSG00000134438,266,RAX
ENSG00000079999,266,KEAP1
ENSG00000096654,266,ZNF184
ENSG00000171223,266,JUNB
ENSG00000141040,265,ZNF287
ENSG00000003402,265,CFLAR
ENSG00000133794,265,ARNTL
ENSG00000124226,265,RNF114
ENSG00000196268,264,ZNF493
ENSG00000171169,264,NAIF1
ENSG00000198646,264,NCOA6
ENSG00000185187,264,SIGIRR
ENSG00000121864,264,ZNF639
ENSG00000272333,264,KMT2B
ENSG00000175197,264,DDIT3
ENSG00000274349,264,ZNF658
ENSG00000183647,264,ZNF530
ENSG00000164104,263,HMGB2
ENSG00000012223,263,LTF
ENSG00000135111,263,TBX3
ENSG00000052850,262,ALX4
ENSG00000105329,262,TGFB1
ENSG00000148337,262,CIZ1
ENSG00000161265,262,U2AF1L4
ENSG00000165684,262,SNAPC4
ENSG00000148840,262,PPRC1
ENSG00000172292,262,CERS6
ENSG00000111704,261,NANOG
ENSG00000171649,261,ZIK1
ENSG00000174306,261,ZHX3
ENSG00000157216,261,SSBP3
ENSG00000143799,261,PARP1
ENSG00000196323,260,ZBTB44
ENSG00000175029,260,CTBP2
ENSG00000135486,260,HNRNPA1
ENSG00000150347,260,ARID5B
ENSG00000122008,260,POLK
ENSG00000197329,260,PELI1
ENSG00000149600,259,COMMD7
ENSG00000133895,259,MEN1
ENSG00000173041,259,ZNF680
ENSG00000176407,259,KCMF1
ENSG00000125520,259,SLC2A4RG
ENSG00000184302,258,SIX6
ENSG00000143614,258,GATAD2B
ENSG00000149050,257,ZNF214
ENSG00000178691,257,SUZ12
ENSG00000198105,257,ZNF248
ENSG00000106410,257,NOBOX
ENSG00000160199,257,PKNOX1
ENSG00000181852,257,RNF41
ENSG00000176887,257,SOX11
ENSG00000197063,257,MAFG
ENSG00000204519,257,ZNF551
ENSG00000102882,257,MAPK3
ENSG00000196417,257,ZNF765
ENSG00000169951,256,ZNF764
ENSG00000204227,256,RING1
ENSG00000092203,256,TOX4
ENSG00000080839,256,RBL1
ENSG00000105392,255,CRX
ENSG00000020633,255,RUNX3
ENSG00000106624,255,AEBP1
ENSG00000176302,255,FOXR1
ENSG00000182872,255,RBM10
ENSG00000163818,255,LZTFL1
ENSG00000100906,255,NFKBIA
ENSG00000180884,254,ZNF792
ENSG00000077150,254,NFKB2
ENSG00000132256,254,TRIM5
ENSG00000170100,254,ZNF778
ENSG00000165821,254,SALL2
ENSG00000105750,254,ZNF85
ENSG00000127124,254,HIVEP3
ENSG00000067646,253,ZFY
ENSG00000269067,253,ZNF728
ENSG00000151657,253,KIN
ENSG00000121903,253,ZSCAN20
ENSG00000127528,253,KLF2
ENSG00000178919,253,FOXE1
ENSG00000166823,252,MESP1
ENSG00000198633,252,ZNF534
ENSG00000163516,252,ANKZF1
ENSG00000152192,252,POU4F1
ENSG00000140044,252,JDP2
ENSG00000182983,251,ZNF662
ENSG00000174371,251,EXO1
ENSG00000169989,251,TIGD4
ENSG00000163013,251,FBXO41
ENSG00000032219,251,ARID4A
ENSG00000028277,251,POU2F2
ENSG00000124827,251,GCM2
ENSG00000105136,251,ZNF419
ENSG00000213096,250,ZNF254
ENSG00000103197,250,TSC2
ENSG00000160741,250,CRTC2
ENSG00000128610,250,FEZF1
ENSG00000139083,250,ETV6
ENSG00000188321,249,ZNF559
ENSG00000171448,249,ZBTB26
ENSG00000196460,249,RFX8
ENSG00000132846,249,ZBED3
ENSG00000107249,249,GLIS3
ENSG00000198093,249,ZNF649
ENSG00000203883,248,SOX18
ENSG00000059145,248,UNKL
ENSG00000171469,248,ZNF561
ENSG00000137074,248,APTX
ENSG00000171206,248,TRIM8
ENSG00000140262,247,TCF12
ENSG00000112200,247,ZNF451
ENSG00000124203,247,ZNF831
ENSG00000182111,247,ZNF716
ENSG00000184939,247,ZFP90
ENSG00000059122,246,FLYWCH1
ENSG00000104447,246,TRPS1
ENSG00000170396,246,ZNF804A
ENSG00000196724,245,ZNF418
ENSG00000101883,245,RHOXF1
ENSG00000104825,245,NFKBIB
ENSG00000162601,245,MYSM1
ENSG00000256771,245,ZNF253
ENSG00000114315,245,HES1
ENSG00000142409,244,ZNF787
ENSG00000185669,244,SNAI3
ENSG00000197323,244,TRIM33
ENSG00000051180,244,RAD51
ENSG00000102034,244,ELF4
ENSG00000108465,243,CDK5RAP3
ENSG00000126368,243,NR1D1
ENSG00000196700,243,ZNF512B
ENSG00000155508,243,CNOT8
ENSG00000175325,243,PROP1
ENSG00000138663,243,COPS4
ENSG00000167967,243,E4F1
ENSG00000170734,242,POLH
ENSG00000112837,242,TBX18
ENSG00000173451,242,THAP2
ENSG00000173163,241,COMMD1
ENSG00000164532,241,TBX20
ENSG00000134317,241,GRHL1
ENSG00000143190,241,POU2F1
ENSG00000185122,241,HSF1
ENSG00000131323,241,TRAF3
ENSG00000066827,241,ZFAT
ENSG00000168874,241,ATOH8
ENSG00000168152,241,THAP9
ENSG00000168267,241,PTF1A
ENSG00000180938,241,ZNF572
ENSG00000183087,240,GAS6
ENSG00000130751,240,NPAS1
ENSG00000140521,240,POLG
ENSG00000051341,240,POLQ
ENSG00000112977,240,DAP
ENSG00000146676,240,PURB
ENSG00000115207,240,GTF3C2
ENSG00000103241,240,FOXF1
ENSG00000170122,240,FOXD4
ENSG00000125846,240,ZNF133
ENSG00000215397,240,SCRT2
ENSG00000122180,240,MYOG
ENSG00000129514,240,FOXA1
ENSG00000095574,239,IKZF5
ENSG00000125816,239,NKX2-4
ENSG00000251247,239,ZNF345
ENSG00000277258,239,PCGF2
ENSG00000178163,239,ZNF518B
ENSG00000169131,239,ZNF354A
ENSG00000100625,239,SIX4
ENSG00000137166,239,FOXP4
ENSG00000141867,239,BRD4
ENSG00000172530,238,BANP
ENSG00000166886,238,NAB2
ENSG00000196378,238,ZNF34
ENSG00000178764,238,ZHX2
ENSG00000186300,238,ZNF555
ENSG00000141258,237,SGSM2
ENSG00000182463,237,TSHZ2
ENSG00000164736,237,SOX17
ENSG00000140632,237,GLYR1
ENSG00000172977,237,KAT5
ENSG00000140307,237,GTF2A2
ENSG00000144355,237,DLX1
ENSG00000179981,236,TSHZ1
ENSG00000105879,236,CBLL1
ENSG00000108799,236,EZH1
ENSG00000130675,236,MNX1
ENSG00000171295,236,ZNF440
ENSG00000142867,236,BCL10
ENSG00000182742,236,HOXB4
ENSG00000157933,235,SKI
ENSG00000187772,235,LIN28B
ENSG00000140332,235,TLE3
ENSG00000172468,235,HSFY1
ENSG00000122859,235,NEUROG3
ENSG00000180530,235,NRIP1
ENSG00000156127,235,BATF
ENSG00000171940,235,ZNF217
ENSG00000261678,234,SCRT1
ENSG00000153896,234,ZNF599
ENSG00000180667,234,YOD1
ENSG00000116016,234,EPAS1
ENSG00000242802,234,AP5Z1
ENSG00000167182,234,SP2
ENSG00000065029,234,ZNF76
ENSG00000215421,234,ZNF407
ENSG00000136603,234,SKIL
ENSG00000163867,233,ZMYM6
ENSG00000060138,233,YBX3
ENSG00000167393,233,PPP2R3B
ENSG00000101695,233,RNF125
ENSG00000166987,233,MBD6
ENSG00000064393,233,HIPK2
ENSG00000119547,232,ONECUT2
ENSG00000115020,232,PIKFYVE
ENSG00000214513,232,NOTO
ENSG00000121406,232,ZNF549
ENSG00000170802,232,FOXN2
ENSG00000112511,232,PHF1
ENSG00000069812,232,HES2
ENSG00000088038,232,CNOT3
ENSG00000114026,231,OGG1
ENSG00000196576,231,PLXNB2
ENSG00000175352,231,NRIP3
ENSG00000197497,231,ZNF665
ENSG00000181222,231,POLR2A
ENSG00000204388,231,HSPA1B
ENSG00000123933,230,MXD4
ENSG00000113595,230,TRIM23
ENSG00000233608,230,TWIST2
ENSG00000186660,230,ZFP91
ENSG00000156983,230,BRPF1
ENSG00000263001,230,GTF2I
ENSG00000167548,230,KMT2D
ENSG00000150991,230,UBC
ENSG00000066697,229,MSANTD3
ENSG00000147180,229,ZNF711
ENSG00000087157,229,PGS1
ENSG00000074047,229,GLI2
ENSG00000164296,229,TIGD6
ENSG00000168348,229,INSM2
ENSG00000164107,229,HAND2
ENSG00000142208,228,AKT1
ENSG00000137309,228,HMGA1
ENSG00000186777,228,ZNF732
ENSG00000125817,228,CENPB
ENSG00000050748,228,MAPK9
ENSG00000106785,228,TRIM14
ENSG00000048405,228,ZNF800
ENSG00000131788,228,PIAS3
ENSG00000196705,228,ZNF431
ENSG00000182986,228,ZNF320
ENSG00000152804,228,HHEX
ENSG00000105996,228,HOXA2
ENSG00000168772,228,CXXC4
ENSG00000109685,228,NSD2
ENSG00000100815,228,TRIP11
ENSG00000215474,227,SKOR2
ENSG00000162086,227,ZNF75A
ENSG00000100426,227,ZBED4
ENSG00000139352,227,ASCL1
ENSG00000197935,227,ZNF311
ENSG00000006576,227,PHTF2
ENSG00000070018,227,LRP6
ENSG00000249709,227,ZNF564
ENSG00000248483,226,POU5F2
ENSG00000097007,226,ABL1
ENSG00000101412,226,E2F1
ENSG00000132478,225,UNK
ENSG00000088881,225,EBF4
ENSG00000183337,225,BCOR
ENSG00000119508,224,NR4A3
ENSG00000123407,224,HOXC12
ENSG00000120693,224,SMAD9
ENSG00000175467,224,SART1
ENSG00000111206,224,FOXM1
ENSG00000169926,224,KLF13
ENSG00000188629,224,ZNF177
ENSG00000215021,224,PHB2
ENSG00000146414,224,SHPRH
ENSG00000177551,224,NHLH2
ENSG00000174428,224,GTF2IRD2B
ENSG00000182348,223,ZNF804B
ENSG00000110768,223,GTF2H1
ENSG00000184445,223,KNTC1
ENSG00000126012,223,KDM5C
ENSG00000154222,223,CC2D1B
ENSG00000186020,223,ZNF529
ENSG00000185252,223,ZNF74
ENSG00000131408,223,NR1H2
